"","OBJECTID","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"114",114,0,"F1_","F1_114",0.39156469486763,"F3_252",1,285289.3659,4426021.0783,TRUE
"115",115,0,"F1_","F1_115",0.246368087818833,"F3_238",1,285280.4399,4426020.8067,TRUE
"116",116,0,"F1_","F1_116",0.30635186769596,"F3_237",1,285283.4524,4426020.7015,TRUE
"117",117,0,"F1_","F1_117",0.272724247243202,"F3_111",1,285275.0104,4426023.7908,TRUE
"118",118,0,"F1_","F1_118",0.340788807494214,"F3_112",1,285273.9202,4426023.7139,TRUE
"119",119,0,"F1_","F1_119",0.125779856802492,"F3_113",1,285275.8856,4426023.2308,TRUE
"120",120,0,"F1_","F1_120",0.286270080635402,"F3_114",1,285268.2363,4426022.8457,TRUE
"121",121,0,"F1_","F1_121",0.140056646070609,"F3_115",1,285272.437,4426022.8033,TRUE
"122",122,0,"F1_","F1_122",0.0637450184268058,"F3_143",1,285266.3859,4426022.7818,TRUE
"123",123,0,"F1_","F1_123",0.0662835498151576,"F3_116",1,285273.2121,4426022.7073,TRUE
"124",124,0,"F1_","F1_124",0.220658368888738,"F3_117",1,285276.155,4426022.5176,TRUE
"125",125,0,"F1_","F1_125",0.199786569756031,"F3_119",1,285275.0968,4426022.0603,TRUE
"126",126,0,"F1_","F1_126",0.204707657943974,"F3_149",1,285267.4967,4426022.012,TRUE
"127",127,0,"F1_","F1_127",0.210669670423329,"F3_150",1,285265.4038,4426022.0537,TRUE
"128",128,0,"F1_","F1_128",0.0531882942441978,"F3_120",1,285273.3253,4426021.8004,TRUE
"129",129,0,"F1_","F1_129",0.267026996951708,"F3_121",1,285277.0017,4426021.7824,TRUE
"130",130,0,"F1_","F1_130",0.333401419083646,"F3_122",1,285270.6105,4426021.8304,TRUE
"131",131,0,"F1_","F1_131",0.0723901034502904,"F3_123",1,285278.4322,4426021.5105,TRUE
"132",132,0,"F1_","F1_132",0.0928884127926546,"F3_125",1,285268.4027,4426021.3746,TRUE
"133",133,0,"F1_","F1_133",0.17653998083176,"F3_318",1,285267.206,4426021.1621,TRUE
"134",134,0,"F1_","F1_134",0.316952596531395,"F3_124",1,285274.4819,4426021.2822,TRUE
"135",135,0,"F1_","F1_135",0.25632822525495,"F3_286",1,285269.5234,4426021.0356,TRUE
"136",136,0,"F1_","F1_136",0.056099413431228,"F3_287",1,285273.5424,4426020.8102,TRUE
"137",137,0,"F1_","F1_137",0.262191562776499,"F3_319",1,285265.1233,4426020.8905,TRUE
"138",138,0,"F1_","F1_138",0.193138108060864,"F3_285",1,285272.29,4426020.9476,TRUE
"139",139,0,"F1_","F1_139",0.0923748358779244,"F3_126",1,285258.1858,4426029.0531,TRUE
"140",140,0,"F1_","F1_140",0.179888225101161,"F3_156",1,285256.537,4426028.9179,TRUE
"141",141,0,"F1_","F1_141",0.199113498603207,"F3_127",1,285257.2377,4426027.9325,TRUE
"142",142,0,"F1_","F1_142",0.485207844914483,"F3_129",0,285258.449,4426027.84,TRUE
"143",143,0,"F1_","F1_143",0.205665665588844,"F3_131",1,285259.6563,4426027.5914,TRUE
"144",144,0,"F1_","F1_144",0.252956424448725,"F3_128",1,285260.8215,4426027.4564,TRUE
"145",145,0,"F1_","F1_145",0.214684477899066,"F3_129",1,285258.4426,4426027.207,TRUE
"146",146,0,"F1_","F1_146",0.270592723307847,"F3_130",1,285257.2411,4426026.9385,TRUE
"147",147,0,"F1_","F1_147",0.0544732509852174,"F3_185",1,285259.3934,4426026.9342,TRUE
"148",148,0,"F1_","F1_148",0.0261907664018251,"F3_159",1,285255.7671,4426026.7802,TRUE
"149",149,0,"F1_","F1_149",0.252140901352402,"F3_132",1,285256.8491,4426026.1935,TRUE
"150",150,0,"F1_","F1_150",0.0992820932378416,"F3_133",1,285257.8476,4426025.9444,TRUE
"151",151,0,"F1_","F1_151",0.167077667116093,"F3_134",1,285258.8095,4426025.8456,TRUE
"152",152,0,"F1_","F1_152",0.179432195033151,"F3_165",1,285255.2659,4426025.4764,TRUE
"153",153,0,"F1_","F1_153",0.153863384744736,"F3_136",1,285257.4335,4426024.9482,TRUE
"154",154,0,"F1_","F1_154",0.303664875794336,"F3_135",1,285259.4812,4426024.9527,TRUE
"155",155,0,"F1_","F1_155",0.216971819638307,"F3_168",1,285254.8135,4426024.6187,TRUE
"156",156,0,"F1_","F1_156",0.116040053971495,"F3_137",1,285260.1903,4426024.5503,TRUE
"157",157,0,"F1_","F1_157",0.157278147214443,"F3_138",1,285259.4059,4426023.875,TRUE
"158",158,0,"F1_","F1_158",0.242938319740302,"F3_140",1,285263.4097,4426023.7262,TRUE
"159",159,0,"F1_","F1_159",0.301512160036614,"F3_139",1,285257.4229,4426023.7654,TRUE
"160",160,0,"F1_","F1_160",0.216398688804547,"F3_172",1,285255.2675,4426023.6342,TRUE
