"","OBJECTID","CLASS_ID","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"468",789,0,"F4_467",0.622281442667406,"F1_370",0,285780.1165,4425614.2975,TRUE
"469",790,0,"F4_468",0.235068291302312,"F1_372",1,285780.6702,4425611.0177,TRUE
"470",791,0,"F4_469",0.0671038629385535,"F1_872",1,285778.9188,4425609.9936,TRUE
"471",792,0,"F4_470",0.100138415305879,"F1_373",1,285780.8693,4425609.3366,TRUE
"472",793,0,"F4_471",0.0799905015717982,"F1_374",1,285780.0563,4425608.7235,TRUE
"473",794,0,"F4_472",1.64920185249888,"F1_378",0,285774.4713,4425616.0479,TRUE
"474",795,0,"F4_473",0.11222912534593,"F1_360",1,285772.1857,4425615.8693,TRUE
"475",796,0,"F4_474",0.121037618762073,"F1_868",1,285777.4439,4425615.4874,TRUE
"476",797,0,"F4_475",0.982884554396332,"F1_378",0,285774.9086,4425615.4126,TRUE
"477",798,0,"F4_476",0.66641216937706,"F1_379",0,285771.7415,4425614.9715,TRUE
"478",799,0,"F4_477",0.165518974149177,"F1_866",1,285773.0128,4425615.0944,TRUE
"479",800,0,"F4_478",0.130584125796337,"F1_363",1,285777.0377,4425614.6437,TRUE
"480",801,0,"F4_479",0.100264508540243,"F1_378",1,285774.8459,4425614.529,TRUE
"481",802,0,"F4_480",0.216438583253218,"F1_379",1,285772.2602,4425614.4749,TRUE
"482",803,0,"F4_481",0.0939577638262491,"F1_382",1,285773.2304,4425613.9205,TRUE
"483",804,0,"F4_482",0.145274209408011,"F1_885",1,285776.9397,4425613.6492,TRUE
"484",805,0,"F4_483",0.0974225273826535,"F1_383",1,285775.0001,4425613.1943,TRUE
"485",806,0,"F4_484",0.0424810654078086,"F1_384",1,285772.2828,4425613.0233,TRUE
"486",807,0,"F4_485",0.12712142066806,"F1_385",1,285773.5244,4425612.9311,TRUE
"487",808,0,"F4_486",0.115790669730398,"F1_386",1,285771.3725,4425612.5011,TRUE
"488",809,0,"F4_487",0.155917204174916,"F1_387",0,285775.6778,4425612.2537,TRUE
"489",810,0,"F4_488",0.113432458395279,"F1_869",1,285776.2038,4425611.2747,TRUE
"490",811,0,"F4_489",0.402020414156508,"F1_871",1,285777.8246,4425611.0313,TRUE
"491",812,0,"F4_490",0.214802462507863,"F1_870",1,285777.2674,4425610.2973,TRUE
"492",813,0,"F4_491",0.155245283307196,"F1_375",1,285778.9504,4425607.9495,TRUE
"493",814,0,"F4_492",0.039743280342623,"F1_377",1,285779.5966,4425607.2713,TRUE
"494",815,0,"F4_493",0.124229992894472,"F1_873",1,285780.1785,4425606.2153,TRUE
"495",816,0,"F4_494",0.172023002812435,"F1_388",1,285777.6085,4425607.883,TRUE
"496",817,0,"F4_495",0.0994547866117438,"F1_590",1,285854.6891,4425687.5462,TRUE
"497",818,0,"F4_496",2.49438675202937,"F1_590",0,285856.4115,4425685.6412,TRUE
"498",819,0,"F4_497",0.169386883231792,"F1_159",0,285860.2533,4425687.4033,TRUE
"499",820,0,"F4_498",1.14292235798266,"F1_154",1,285853.3344,4425693.9089,TRUE
"500",821,0,"F4_499",0.138454427304248,"F1_108",1,285841.2919,4425707.8009,TRUE
"501",822,0,"F4_500",0.163979972713224,"F1_593",1,285844.6997,4425699.5247,TRUE
"502",823,0,"F4_501",0.022312140258525,"F1_174",1,285836.3495,4425682.1733,TRUE
"503",824,0,"F4_502",0.0349149477251279,"F1_582",1,285835.1006,4425682.0675,TRUE
"504",825,0,"F4_503",0.0950187199435356,"F1_580",1,285835.651,4425681.189,TRUE
"505",826,0,"F4_504",0.0768011023699214,"F1_586",1,285833.9682,4425682.8506,TRUE
"506",827,0,"F4_505",0.0469616618617314,"F1_587",1,285833.238,4425683.5068,TRUE
"507",828,0,"F4_506",0.130372175690517,"F1_588",1,285832.0632,4425683.6444,TRUE
"508",829,0,"F4_507",0.0769036959756918,"F1_584",1,285831.4811,4425682.4379,TRUE
"509",830,0,"F4_508",0.151447092468818,"F1_177",1,285830.1582,4425682.5543,TRUE
"510",831,0,"F4_509",0.0448066858762154,"F1_178",1,285832.2325,4425681.0515,TRUE
"511",832,0,"F4_510",0.0175435689813858,"F1_576",1,285832.7935,4425679.6968,TRUE
"512",833,0,"F4_511",0.139426599680076,"F1_578",1,285834.0635,4425679.9825,TRUE
"513",834,0,"F4_512",0.0965371133213529,"F1_579",1,285834.8255,4425680.2048,TRUE
"514",835,0,"F4_513",0.326070457817452,"F1_176",1,285835.4499,4425679.337,TRUE
"515",836,0,"F4_514",0.0104956756535778,"F1_175",1,285836.6564,4425679.337,TRUE
"516",837,0,"F4_515",0.0737406635871676,"F1_577",1,285837.122,4425679.9931,TRUE
"517",838,0,"F4_516",0.0420459192856979,"F1_575",1,285832.5606,4425678.8078,TRUE
"518",839,0,"F4_517",0.0956385951510641,"F1_574",1,285831.9785,4425676.9345,TRUE
