PCC,PCC.sd,Kappa,Kappa.sd,sensitivity,sensitivity.sd,specificity,specificity.sd,AUC,AUC.sd,TSS,nestimate,colony,flight,Method,Method1,Method2,Observed,Method3,PctError,DisttoColony,Angle,RMSE,NSSDA,Per_Cover,maxRMSE
0.970635344,0.003902003,0.65635435,0.043033952,0.972943125,0.003813671,0.903225806,0.037854109,0.938084466,0.019022866,0.876168931,1768,bluffn,f1f4,Double,AcrossDay,na,1811,UAS,2.374378796,na,na,0.53556484,0.92695563,4.311072871,na
0.971428571,0.003869159,0.582258688,0.051590783,0.973495306,0.003775627,0.886363636,0.048398333,0.929929471,0.02427269,0.859858942,1768,bluffn,f4f1,Double,AcrossDay,na,1811,UAS,2.374378796,na,na,0.53556484,0.92695563,4.311072871,na
0.966037736,0.00420669,0.510785615,0.053275432,0.97018222,0.003997836,0.795454545,0.061513207,0.882818383,0.030821492,0.765636765,1766,bluffn,f4f3,Double,SameDay,na,1811,UAS,2.484815019,na,na,0.56326302,0.97489564,4.311072871,na
0.994066882,0.001784069,0.854155642,0.043386115,0.999447819,0.000552181,0.76744186,0.065187431,0.88344484,0.032594885,0.766889679,1820,bluffn,f3f1,Double,AcrossDay,na,1811,UAS,0.496963004,na,na,0.2984558,0.51656729,4.311072871,na
0.9649407,0.004272818,0.4878584,0.05411646,0.96963,0.004033535,0.7674419,0.06518743,0.8685359,0.03265605,0.7370719,1766,bluffn,f3f4,Double,SameDay,na,1811,UAS,2.484815019,na,na,0.56326302,0.97489564,4.311072871,na
0.998043053,0.001956947,0.961959354,0.037975899,0.997991968,0.002008032,1,0,0.998995984,0.001004016,0.997991968,497,bluffs,f3f4,Double,SameDay,na,498,UAS,0.200803213,na,na,0.23129943,0.40033305,6.842224716,na
0.986193294,0.005187413,0.688929792,0.111187318,0.987951807,0.00489385,0.888888889,0.111111111,0.938420348,0.055609416,0.876840696,493,bluffs,f1f3,Double,AcrossDay,na,498,UAS,1.004016064,na,na,0.31426775,0.54393462,6.842224716,na
0.998027613,0.001972387,0.946366233,0.053503727,0.997991968,0.002008032,1,0,0.998995984,0.001004016,0.997991968,497,bluffs,f1f4,Double,AcrossDay,na,498,UAS,0.200803213,na,na,0.19053425,0.32977669,6.842224716,na
0.998035363,0.001964637,0.955518658,0.044393642,0.997991968,0.002008032,1,0,0.998995984,0.001004016,0.997991968,497,bluffs,f4f1,Double,AcrossDay,na,498,UAS,0.200803213,na,na,0.19053425,0.32977669,6.842224716,na
0.998035363,0.001964637,0.955518658,0.044393642,0.997991968,0.002008032,1,0,0.998995984,0.001004016,0.997991968,497,bluffs,f4f3,Double,SameDay,na,498,UAS,0.200803213,na,na,0.23129943,0.40033305,6.842224716,na
