UFID,dist,nnid2,Observed,Nesting
F4_798,1.082148806,F4_797,1,1
F4_13,1.082636646,F4_815,1,1
F4_815,1.082636646,F4_13,1,1
F4_765,1.083361072,F4_766,1,1
F4_619,1.083390507,F4_495,1,1
F4_748,1.083788117,F4_180,1,1
F4_12,1.08394778,F4_17,1,1
F4_506,1.084472519,F4_513,0,1
F4_513,1.084472519,F4_506,1,1
F4_722,1.084874499,F4_723,1,1
F4_723,1.084874499,F4_722,1,1
F4_683,1.086567036,F4_684,1,1
F4_684,1.086567036,F4_683,1,1
F4_520,1.087429661,F4_518,1,1
F4_645,1.08745255,F4_641,1,1
F4_48,1.087554181,F4_749,1,1
F4_749,1.087554181,F4_48,1,1
F4_814,1.088297235,F4_14,1,1
F4_138,1.08879884,F4_727,1,1
F4_727,1.08879884,F4_138,1,1
F4_395,1.090108944,F4_634,1,1
F4_735,1.090285379,F4_736,1,1
F4_11,1.090531581,F4_13,1,1
F4_473,1.093868402,F4_476,1,1
F4_476,1.093868402,F4_473,1,1
F4_346,1.09410162,F4_349,1,1
F4_163,1.094257585,F4_681,1,1
F4_681,1.094257585,F4_163,1,1
F4_202,1.094464386,F4_205,1,1
F4_205,1.094464386,F4_202,1,1
F4_785,1.094744159,F4_27,1,1
F4_7,1.098197331,F4_8,1,1
F4_8,1.098197331,F4_7,1,1
F4_269,1.100713855,F4_272,1,1
F4_389,1.100988558,F4_636,1,1
F4_636,1.100988558,F4_389,1,1
F4_821,1.102410975,F4_822,1,1
F4_585,1.102794298,F4_584,1,1
F4_85,1.102982537,F4_83,1,1
F4_216,1.103368548,F4_825,1,1
F4_380,1.104038511,F4_383,1,1
F4_383,1.104038511,F4_380,1,1
F4_305,1.107273345,F4_307,1,1
F4_307,1.107273345,F4_305,1,1
F4_561,1.107553854,F4_564,1,1
F4_564,1.107553854,F4_561,1,1
F4_461,1.107960435,F4_460,1,1
F4_559,1.108467284,F4_605,1,1
F4_141,1.109807963,F4_266,1,1
F4_266,1.109807963,F4_141,1,1
F4_707,1.110385689,F4_708,1,1
F4_708,1.110385689,F4_707,1,1
F4_137,1.110704187,F4_134,1,1
F4_126,1.1107815,F4_131,1,1
F4_33,1.111424353,F4_790,1,1
F4_665,1.111802415,F4_145,1,1
F4_171,1.112070455,F4_175,1,1
F4_54,1.112584509,F4_773,1,1
F4_199,1.113391515,F4_200,1,1
F4_256,1.113519541,F4_251,1,1
F4_275,1.115035226,F4_720,1,1
F4_720,1.115035226,F4_275,1,1
F4_581,1.116280538,F4_579,1,1
F4_437,1.117692992,F4_577,1,1
F4_577,1.117692992,F4_437,1,1
F4_654,1.118316835,F4_655,1,1
F4_517,1.120206023,F4_398,1,1
F4_291,1.121400801,F4_292,1,1
F4_355,1.122019334,F4_358,1,1
F4_358,1.122019334,F4_355,1,1
F4_408,1.123002314,F4_411,1,1
F4_56,1.123317211,F4_773,1,1
F4_264,1.123554098,F4_260,1,1
F4_627,1.123992607,F4_626,0,1
F4_560,1.124761278,F4_603,1,1
F4_384,1.12495275,F4_657,1,1
F4_657,1.12495275,F4_384,1,1
F4_523,1.125572477,F4_525,1,1
F4_525,1.125572477,F4_523,1,1
F4_647,1.126580564,F4_648,1,1
F4_388,1.126695386,F4_642,1,1
F4_826,1.126731639,F4_256,1,1
F4_9,1.127487504,F4_12,1,1
F4_416,1.127723362,F4_419,1,1
F4_526,1.129141679,F4_524,1,1
F4_124,1.1303184,F4_103,1,1
F4_80,1.131357266,F4_740,1,1
F4_201,1.131891625,F4_204,1,1
F4_204,1.131891625,F4_201,1,1
F4_789,1.133877685,F4_790,1,1
F4_540,1.134395147,F4_544,1,1
F4_544,1.134395147,F4_540,1,1
F4_63,1.135179857,F4_73,1,1
F4_393,1.135901948,F4_636,1,1
F4_214,1.136416895,F4_216,1,1
F4_442,1.138081705,F4_441,1,1
F4_644,1.141856406,F4_646,1,1
F4_646,1.141856406,F4_644,1,1
F4_81,1.142602462,F4_96,1,1
F4_516,1.142997732,F4_538,1,1
F4_288,1.143840199,F4_720,1,1
F4_728,1.144975631,F4_129,1,1
F4_354,1.146262871,F4_355,1,1
F4_5,1.147817183,F4_821,1,1
F4_119,1.148188678,F4_114,1,1
F4_161,1.149773348,F4_671,1,1
F4_407,1.150205622,F4_697,1,1
F4_697,1.150205622,F4_407,1,1
F4_16,1.150470019,F4_11,1,1
F4_300,1.150543766,F4_301,1,1
F4_245,1.151173386,F4_250,1,1
F4_628,1.151186113,F4_629,1,1
F4_629,1.151186113,F4_628,1,1
F4_10,1.151882934,F4_12,1,1
F4_144,1.152085078,F4_146,1,1
F4_146,1.152085078,F4_144,1,1
F4_215,1.15273029,F4_692,1,1
F4_692,1.15273029,F4_215,1,1
F4_153,1.153014951,F4_154,1,1
F4_154,1.153014951,F4_153,1,1
F4_190,1.153124894,F4_379,1,1
F4_64,1.154610282,F4_66,1,1
F4_578,1.154829432,F4_433,1,1
F4_704,1.15493891,F4_241,1,1
F4_710,1.15579547,F4_711,1,1
F4_330,1.157004889,F4_333,1,1
F4_491,1.158182546,F4_493,1,1
F4_493,1.158182546,F4_491,1,1
F4_492,1.159192642,F4_494,1,1
F4_494,1.159192642,F4_492,1,1
F4_332,1.16074837,F4_335,1,1
F4_432,1.160998607,F4_433,1,1
F4_378,1.161696698,F4_380,1,1
F4_271,1.164706793,F4_276,1,1
F4_276,1.164706793,F4_271,1,1
F4_659,1.164802286,F4_349,1,1
F4_274,1.165409554,F4_277,1,1
F4_717,1.165746409,F4_719,1,1
F4_329,1.166218315,F4_664,1,1
F4_529,1.167590512,F4_527,1,1
F4_496,1.168658873,F4_492,1,1
F4_480,1.171567897,F4_499,1,1
F4_536,1.17324201,F4_612,0,1
F4_111,1.176466346,F4_116,1,1
F4_567,1.177628892,F4_566,1,1
F4_162,1.179312486,F4_164,1,1
F4_164,1.179312486,F4_162,1,1
F4_87,1.180103346,F4_92,1,1
F4_93,1.181814406,F4_97,1,1
F4_793,1.182326687,F4_33,1,1
F4_485,1.182805957,F4_520,1,1
F4_91,1.186618933,F4_734,1,1
